,iso3,year,ideal
3151,AUT,1971,0.9067491
3152,AUT,1972,1.280185
3153,AUT,1973,1.203782
3154,AUT,1974,1.271068
3155,AUT,1975,1.020592
3156,AUT,1976,1.141342
3157,AUT,1977,1.225531
3158,AUT,1978,1.32582
3159,AUT,1979,1.254611
3160,AUT,1980,1.120504
3161,AUT,1981,1.092048
3162,AUT,1982,0.9395782
3163,AUT,1983,0.8479297
3164,AUT,1984,0.8725544
3165,AUT,1985,0.9654542
3166,AUT,1986,0.9909284
3167,AUT,1987,1.009832
3168,AUT,1988,1.113571
3169,AUT,1989,0.9430193
3170,AUT,1990,0.8880076
3171,AUT,1991,1.074449
3172,AUT,1992,1.159334
3173,AUT,1993,1.155972
3174,AUT,1994,1.17558
3175,AUT,1995,1.123514
3176,AUT,1996,1.157366
3177,AUT,1997,1.317967
3178,AUT,1998,1.179115
3179,AUT,1999,1.048562
3180,AUT,2000,1.064692
3181,AUT,2001,1.044945
3182,AUT,2002,0.9135994
3183,AUT,2003,0.9483537
3184,AUT,2004,0.9519777
3185,AUT,2005,0.9849611
3186,AUT,2006,0.8612118
3187,AUT,2007,0.7646935
3188,AUT,2008,0.8041956
3189,AUT,2009,0.8504028
3190,AUT,2010,0.7454948
3191,AUT,2011,0.8110922
3192,AUT,2012,0.7253764
3193,AUT,2013,0.7536599
3194,AUT,2014,0.817433
3195,AUT,2015,0.6482437
3196,AUT,2016,0.6783589
3197,AUT,2017,0.6870355
3198,AUT,2018,0.7555008
3199,AUT,2019,0.7929833
3200,AUT,2020,0.7594015
3201,AUT,2021,0.7321443
3202,AUT,2022,0.9728487
3203,HUN,1955,-2.869505
3204,HUN,1956,-2.852487
3205,HUN,1957,-2.790707
3206,HUN,1958,-2.819028
3207,HUN,1959,-2.789381
3208,HUN,1960,-2.327215
3209,HUN,1961,-2.312431
3210,HUN,1962,-2.307182
3211,HUN,1963,-2.735994
3212,HUN,1965,-2.368034
3213,HUN,1966,-2.155653
3214,HUN,1967,-1.599608
3215,HUN,1968,-1.963815
3216,HUN,1969,-1.716633
3217,HUN,1970,-2.44656
3218,HUN,1971,-2.439491
3219,HUN,1972,-2.128578
3220,HUN,1973,-2.185762
3221,HUN,1974,-2.09462
3222,HUN,1975,-2.362996
3223,HUN,1976,-2.019807
3224,HUN,1977,-2.417734
3225,HUN,1978,-2.310653
3226,HUN,1979,-2.266495
3227,HUN,1980,-2.081774
3228,HUN,1981,-2.004629
3229,HUN,1982,-1.936001
3230,HUN,1983,-1.912971
3231,HUN,1984,-1.369325
3232,HUN,1985,-1.53217
3233,HUN,1986,-1.275251
3234,HUN,1987,-1.063319
3235,HUN,1988,-0.5690409
3236,HUN,1989,0.1903691
3237,HUN,1990,1.079299
3238,HUN,1991,1.272931
3239,HUN,1992,1.383693
3240,HUN,1993,1.382547
3241,HUN,1994,1.590034
3242,HUN,1995,1.320932
